;valid_species_name;dec_long;dec_lat
235;Atta.sexdens;-81.329.112;8.004.479
236;Atta.sexdens;-81.323.074;8.007.318
237;Atta.sexdens;-7.969.524;8.957.669
238;Atta.sexdens;-79.579.617;909.778
239;Atta.sexdens;-81.328.423;8.008.852
240;Atta.sexdens;-40.308.108;-20.127.945
241;Atta.sexdens;-66.355.696;-9.773.745
242;Atta.sexdens;-81.310.073;8.004.547
243;Atta.sexdens;-546.315;-255.604
244;Atta.sexdens;-546.126;-255.215
245;Atta.sexdens;-546.322;-255.607
246;Atta.sexdens;-575.324;-252.257
247;Atta.sexdens;-43.638.908;-20.207.152
248;Atta.sexdens;-69.217.553;-12.597.978
249;Atta.sexdens;-47.795.028;-2.119.568
250;Atta.sexdens;-69.295.731;-12.803.947
251;Atta.sexdens;-69.297.528;-12.803.372
252;Atta.sexdens;-5.233.021;4.872.727
253;Atta.sexdens;-5.444.771;-25.682.391
254;Atta.sexdens;-38.573.951;-3.753.521
255;Atta.sexdens;-47.963.219;-19.774.242
256;Atta.sexdens;-41.115.315;-2.130.439
257;Atta.sexdens;-46.573.521;-23.756.423
258;Atta.sexdens;-79.953.882;8.877.813
259;Atta.sexdens;-67.865.882;-9.957.441
260;Atta.sexdens;-727.042;108.767
261;Atta.sexdens;-727.046;108.783
262;Atta.sexdens;-72.734;109.138
263;Atta.sexdens;-727.041;108.788
264;Atta.sexdens;-72.728;109.147
265;Atta.sexdens;-727.336;109.112
266;Atta.sexdens;-78.774.202;-559.505
267;Atta.sexdens;-46.737.152;-23.559.377
268;Atta.sexdens;-40.724.672;-20.841.195
269;Atta.sexdens;-3.992.774;-18.699.745
270;Atta.sexdens;-47.335.023;-1.555.251
271;Atta.sexdens;-5.554.467;-11.863.722
272;Atta.sexdens;-63.158.597;-17.749.143
273;Atta.sexdens;-82.432.612;8.495.858
274;Atta.sexdens;-54.583.801;-25.659.203
275;Atta.sexdens;-69.520.782;-12.894.166
276;Atta.sexdens;-54.448.602;-25.714.998
277;Atta.sexdens;-54.556.791;-25.608.928
278;Atta.sexdens;-54.550.816;-25.606.054
279;Atta.sexdens;-47.826.306;-15.943.799
280;Atta.sexdens;-46.170.603;-23.508.719
281;Atta.sexdens;-72.914.895;-3.258.755
282;Atta.sexdens;-79.700.417;9.116.689
283;Atta.sexdens;-5.443.647;-25.715.672
284;Atta.sexdens;-63.598.297;-18.105.172
285;Atta.sexdens;-5.445.372;-2.568.102
286;Atta.sexdens;-445.223;-224.551
287;Atta.sexdens;-46.465.367;-23.571.327
288;Atta.sexdens;-46.163.378;-23.200.507
289;Atta.sexdens;-76.352.264;-6.464.004
290;Atta.sexdens;-57.507.758;-192.081
291;Atta.sexdens;-4.663.991;-23.459.352
292;Atta.sexdens;-45.886.501;-23.168.112
293;Atta.sexdens;-54.453.605;-25.681.194
294;Atta.sexdens;-46.622.138;-23.650.989
295;Atta.sexdens;-46.621.808;-23.651.703
296;Atta.sexdens;-7.037.487;-3.774.209
297;Atta.sexdens;-4.593.363;-2.319.747
298;Atta.sexdens;-79.882.883;8.578.892
299;Atta.sexdens;-43.374.179;-2.299.338
300;Atta.sexdens;-54.444.953;-2.568.317
301;Atta.sexdens;-44.125.622;-23.166.395
302;Atta.sexdens;-63.211.708;-17.791.545
303;Atta.sexdens;-43.552.862;-2.288.918
304;Atta.sexdens;-45.895.651;-23.263.201
305;Atta.sexdens;-46.953.778;-23.544.831
306;Atta.sexdens;-54.168.496;-25.857.518
307;Atta.sexdens;-49.262.038;-16.682.638
308;Atta.sexdens;-4.398.505;-1.992.927
309;Atta.sexdens;-46.854.222;-22.810.851
310;Atta.sexdens;-51.710.518;-20.779.226
311;Atta.sexdens;-47.057.041;-22.834.499
312;Atta.sexdens;-47.114.268;-22.732.229
313;Atta.sexdens;-5.676.741;-17.355.836
314;Atta.sexdens;-73.460.912;9.539.588
315;Atta.sexdens;-73.456.793;9.554.982
316;Atta.sexdens;-7.270.416;10.876.713
317;Atta.sexdens;-47.145.064;-22.938.159
318;Atta.sexdens;-8.132.377;8.057.211
319;Atta.sexdens;-8.132.723;8.014.236
320;Atta.sexdens;-49.019.676;-18.563.997
321;Atta.sexdens;-489.403;-15.843.562
322;Atta.sexdens;-413.902;-12.570.497
323;Atta.sexdens;-54.066.722;5.320.817
324;Atta.sexdens;-54.063.031;5.376.375
325;Atta.sexdens;-54.067.503;5.329.378
326;Atta.sexdens;-52.317.486;4.944.511
327;Atta.sexdens;-50.059.289;-6.064.825
328;Atta.sexdens;-47.057.784;-23.460.748
329;Atta.sexdens;-81.069.762;8.167.835
330;Atta.sexdens;-66.082.996;-11.007.304
331;Atta.sexdens;-47.855.655;-21.170.438
332;Atta.sexdens;-48.402.853;-2.497.287
333;Atta.sexdens;-54.445.862;-256.796
334;Atta.sexdens;-76.125.684;-5.894.729
335;Atta.sexdens;-66.045.741;-10.997.726
336;Atta.sexdens;-46.785.795;-24.168.913
337;Atta.sexdens;-46.848.104;-23.718.323
338;Atta.sexdens;-41.900.511;-18.895.098
339;Atta.sexdens;-82.434.219;8.665.765
340;Atta.sexdens;-52.420.789;-26.537.858
341;Atta.sexdens;-48.214.399;-18.948.069
342;Atta.sexdens;-54.478.277;-25.613.706
343;Atta.sexdens;-41.297.419;-21.765.123
344;Atta.sexdens;-46.730.749;-235.473
345;Atta.sexdens;-732.776;105.771
346;Atta.sexdens;-732.726;105.744
347;Atta.sexdens;-4.496.624;-1.736.232
348;Atta.sexdens;-52.923.728;5.274.673
349;Atta.sexdens;-76.213.723;-6.605.851
350;Atta.sexdens;-80.941.719;8.051.567
351;Atta.sexdens;-80.043.142;7.537.076
352;Atta.sexdens;-73.063.622;-3.505.232
353;Atta.sexdens;-47.878.465;-15.948.213
354;Atta.sexdens;-8.132.537;80.639
355;Atta.sexdens;-81.276.934;8.000.978
356;Atta.sexdens;-81.218.836;8.310.289
357;Atta.sexdens;-81.319.379;8.053.686
358;Atta.sexdens;-40.692.675;-18.881.722
359;Atta.sexdens;-75.684.722;1.341.944
360;Atta.sexdens;-46.358.307;-23.533.614
361;Atta.sexdens;-57.574.503;-25.231.345
362;Atta.sexdens;-74.107.778;10.803.056
363;Atta.sexdens;-70.247.394;-3.824.747
364;Atta.sexdens;-7.969.869;912.074
365;Atta.sexdens;-46.469.699;-23.576.014
366;Atta.sexdens;-46.459.361;-2.357.132
367;Atta.sexdens;-46.519.442;-23.495.176
368;Atta.sexdens;-43.417.776;-2.258.486
369;Atta.sexdens;-63.646.728;-18.128.137
370;Atta.sexdens;-79.097.114;-4.766.708
371;Atta.sexdens;-35.204.206;-5.901.653
372;Atta.sexdens;-54.569.546;-2.555.239
373;Atta.sexdens;-545.882;-25.594.738
374;Atta.sexdens;-81.240.536;7.859.881
375;Atta.sexdens;-79.761.311;8.868.262
376;Atta.sexdens;-47.809.473;-15.799.372
377;Atta.sexdens;-48.006.603;-15.836.127
378;Atta.sexdens;-5.301.059;521.113
379;Atta.sexdens;-52.957.152;5.340.949
380;Atta.sexdens;-46.741.195;-22.197.628
381;Atta.sexdens;-43.438.268;-22.586.237
382;Atta.sexdens;-45.718.689;-22.263.828
383;Atta.sexdens;-81.059.436;7.944.322
384;Atta.sexdens;-48.018.598;-15.831.154
385;Atta.sexdens;-48.019.559;-15.832.247
386;Atta.sexdens;-53.680.225;-29.234.298
387;Atta.sexdens;-43.211.718;-22.960.361
388;Atta.sexdens;-47.805.697;-15.894.541
389;Atta.sexdens;-79.778.877;8.914.611
390;Atta.sexdens;-46.644.795;-22.935.951
391;Atta.sexdens;-47.836.137;-15.876.395
392;Atta.sexdens;-73.183.889;-4.356.389
393;Atta.sexdens;-55.589;-27.285
394;Atta.sexdens;-47.943.585;-19.735.098
395;Atta.sexdens;-43.940.234;-19.787.461
396;Atta.sexdens;-54.893.526;-27.095.609
397;Atta.sexdens;-66.047.104;-11.024.689
398;Atta.sexdens;-54.487.114;-25.618.342
399;Atta.sexdens;-56.762.155;-27.512.772
400;Atta.sexdens;-44.716.357;-2.321.884
401;Atta.sexdens;-47.660.245;-15.604.437
402;Atta.sexdens;-4.686.744;-22.375.348
403;Atta.sexdens;-79.701.018;9.116.137
404;Atta.sexdens;-79.696.513;9.116.464
405;Atta.sexdens;-80.840.547;8.320.714
406;Atta.sexdens;-53.812.728;-28.579.572
